"","iso2c","year","income_pc","market_wealth","final_consumption","household_expenditure","share_capital_income","share_labor_income","labor_income","Pi","C","K","f","g","r","country"
"57","AU",1992,31284.5665659587,2820543817992.83,132660128388.013,391670762976.589,0.227938860654831,0.772061109542847,422172305624.98,422172305624.98,524330891364.602,2820543817992.83,0.0361916395099983,-0.000768223797371085,0.0354234157126272,"Australia"
"58","AU",1993,32707.9596040352,2881733522544.64,139421227552.547,402611659393.517,0.243856221437454,0.756143748760223,436143101321.607,436143101321.607,542032886946.063,2881733522544.64,0.0375423295851542,0.0216942931932029,0.0592366227783572,"Australia"
"59","AU",1994,33863.5433760709,3012681692503.95,140149757815.461,418158300290.024,0.2510966360569,0.748903393745422,451556222680.416,451556222680.416,558308058105.486,3012681692503.95,0.0370443119011243,0.0454407629764721,0.0824850748775964,"Australia"
"60","AU",1995,34585.2666523502,3069723767288.24,147605388275.982,433013329161.946,0.244558364152908,0.755441606044769,470416199251.631,470416199251.631,580618717437.928,3069723767288.24,0.0365795425585446,0.0189339865961338,0.0555135291546785,"Australia"
"61","AU",1996,35690.5133931012,3107325226123.55,154109857954.6,447894376178.979,0.242198839783668,0.757801175117493,492912336510.875,492912336510.875,602004234133.579,3107325226123.55,0.0355380177152143,0.012249134347528,0.0477871520627423,"Australia"
"62","AU",1997,36908.1546626561,3378708154706.29,158880557918.184,456323189605.661,0.237045630812645,0.762954354286194,518778969735.15,518778969735.15,615203747523.845,3378708154706.29,0.0310314404742843,0.08733650610538,0.118367946579664,"Australia"
"63","AU",1998,38265.4930499889,3580327289933.74,164785256072.496,484176679537.469,0.246106088161469,0.753893911838531,536793615405.631,536793615405.631,648961935609.965,3580327289933.74,0.0331985821409558,0.05967343907659,0.0928720212175458,"Australia"
"64","AU",1999,39760.360607588,3948076455259.52,174394853731.562,512625168040.342,0.243889406323433,0.756110608577728,565557646297.223,565557646297.223,687020021771.904,3948076455259.52,0.0339249363643872,0.102713840256932,0.13663877662132,"Australia"
"65","AU",2000,41053.0670597316,4276971738819.43,164189857905.345,544652350284.352,0.256780415773392,0.743219614028931,580596135059.526,580596135059.526,708842208189.697,4276971738819.43,0.032483178728549,0.0833051961599574,0.115788374888506,"Australia"
"66","AU",2001,41156.8575468488,4426215371146.27,184769056300.136,547239468539.51,0.251990556716919,0.748009443283081,593385059384.089,593385059384.089,732008524839.647,4426215371146.27,0.0324115925755034,0.0348946968651312,0.0673062894406346,"Australia"
"67","AU",2002,42497.5298376863,4741803217073.19,193200711298.981,553802923040.28,0.252432227134705,0.747567772865295,619359079562.523,619359079562.523,747003634339.261,4741803217073.19,0.0288383063347597,0.0712997040280022,0.100138010362762,"Australia"
"68","AU",2003,43324.9405551555,5125732649488.13,190982731027.542,585339046094.977,0.26119339466095,0.73880660533905,631236174635.325,631236174635.325,776321777122.52,5125732649488.13,0.030597136963593,0.0809669686486736,0.111564105612267,"Australia"
"69","AU",2004,44750.9757792616,5674152880060.25,201573825471.323,610709401552.944,0.264705568552017,0.735294461250305,655889485750.022,655889485750.022,812283227024.268,5674152880060.25,0.0305114901554343,0.106993530110643,0.137505020266077,"Australia"
"70","AU",2005,45195.8115092954,6000245307878.47,210325667933.434,619021710520.968,0.253076732158661,0.746923267841339,681125778402.736,681125778402.736,829347378454.403,6000245307878.47,0.0261222429470553,0.0574697994063858,0.083592042353441,"Australia"
"71","AU",2006,45646.6090949861,6382875076225.65,208897533724.227,634499887288.188,0.264102071523666,0.735897898674011,686973276056.24,686973276056.24,843397421012.415,6382875076225.65,0.0260696249786299,0.0637690208839911,0.089838645862621,"Australia"
"72","AU",2007,46368.6711130641,6914185135218.46,211518817444.682,656135617732.607,0.267191886901856,0.732808113098145,707708810129.862,707708810129.862,867654435177.289,6914185135218.46,0.025058554826363,0.0832399275636448,0.108298482390008,"Australia"
"73","AU",2008,47155.5005630508,6891846115663.85,207797268103.038,684986943489.063,0.26268082857132,0.73731917142868,738806228356.376,738806228356.376,892784211592.101,6891846115663.85,0.0222698669799011,-0.00323089693401789,0.0190389700458833,"Australia"
